id,question,rewritten_question,context,answer,strategy
180,How many species of beetles are there?,How many species of beetles are there?,"Beetles are a group of insects which have the largest number of species. They are placed in the order Coleoptera,which means ""sheathed wing"" and contains more described species than in any other order in the animal kingdom, constituting about twenty-five percent of all known life-forms. James K. Liebherr and Joseph V. McHugh in Resh, V. H. & R. T. Card̩ (Editors) 2003. Encyclopedia of Insects. Academic Press.  Forty percent of all described insect species are beetles (about 350,000 species ), and new species are frequently discovered. Estimates put the total number of species, described and undescribed, at between 5 and 8 million.",between 5 and 8 million,384d_enhanced_top1
182,When are sperm cells transferred to the female?,When are sperm cells transferred to the female?,Pairing is generally short but in some cases will last for several hours. During pairing sperm cells are transferred to the female to fertilise the egg.,During pairing,384d_enhanced_top1
184,What is the study of beetles called?,What is the study of beetles called?,"The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.",coleopterology,384d_enhanced_top1
186,"Is it possible that there are more than 350,000 species of beetles?","Is it possible that there are more than 350,000 species of beetles?","There are about 350,000 species of beetles. Such a large number of species poses special problems for classification, with some families consisting of thousands of species and needing further division into subfamilies and tribes.",yes,384d_enhanced_top1
188,Is the Adephaga suborder larger than the Polyphaga suborder?,Is the Adephaga suborder larger than the Polyphaga suborder?,"These suborders diverged in the Permian and Triassic. Their phylogenetic relationship is uncertain, with the most popular hypothesis being that Polyphaga and Myxophaga are most closely related, with Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.",yes,384d_enhanced_top1
190,Do carrion beetles eat dung?,Carrion beetles are carrion beetles. Carrion beetles are carrion beetles. Carrion beetles are carrion beetles. Carrion beetles are car,"Many agricultural, forestry, and household insect pests are beetles. These include the following:",Carrion beetles are carrion beetles.,384d_enhanced_top1
192,What are prey of various animals including birds and mammals?,What are prey of various animals including birds and mammals?,"A worldwide group like the ducks has many predators. Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians,  and other aquatic hunters, including fish-eating birds such as herons. Nests may also be raided by land-based predators, and brooding females may sometimes be caught unaware on the nest by mammals (e.g. foxes) and large birds, including hawks and eagles.",ducklings,384d_enhanced_top1
193,What was given by Aristotle for the hardened shield like forewings?,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"" was given by Aristotle for the hardened shield like forewings (coleo = shield + ptera = wing). ","The name ""Coleoptera""",384d_enhanced_top1
194,Who or what vary greatly in form within the coleoptera?,What is the name of the species that vary greatly in form within the coleoptera?,"Beetles are a group of insects which have the largest number of species. They are placed in the order Coleoptera,which means ""sheathed wing"" and contains more described species than in any other order in the animal kingdom, constituting about twenty-five percent of all known life-forms. James K. Liebherr and Joseph V. McHugh in Resh, V. H. & R. T. Card̩ (Editors) 2003. Encyclopedia of Insects. Academic Press.  Forty percent of all described insect species are beetles (about 350,000 species ), and new species are frequently discovered. Estimates put the total number of species, described and undescribed, at between 5 and 8 million.",Beetles,384d_enhanced_top1
195,Are many beetles territorial?,Are beetles territorial?,"Beetles and their larvae have a variety of strategies to avoid being attacked by predators or parasitoids. These include camouflage, mimicry, toxicity, and active defence.","camouflage, mimicry, toxicity, and active defence",384d_enhanced_top1
196,Are beetles endopterygotes with complete metamorphosis?,Are beetles endopterygotes?,Beetles are endopterygotes with complete metamorphosis.,yes,384d_enhanced_top1
197,Oxygen is what?,Oxygen is what?,"Oxygen is obtained via a tracheal system. Air enters a series of tubes along the body through openings called spiracles, and is then taken into increasingly finer fibres. Pumping movements of the body force the air through the system.",tracheal system,384d_enhanced_top1
198,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Is there a thriving industry in the collection of beetles for amateur and professional collectors ?,"Beetle collection at the Melbourne Museum, Australia","Beetle collection at the Melbourne Museum, Australia",384d_enhanced_top1
199,Have coleopterists formed organisations to facilitate the study of beetles ?,Coleopterists have formed organisations to study beetles . What is a beetle ?,"The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.",None of the above choices .,384d_enhanced_top1
